epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4767.43,1.67249,1.86163,1.68414,0.27987,0.30389,0.23302,0.08137,2.36746,2.80761,2.41417,0.000485566,0.000485566,0.000485566
43,4883.01,1.6531,1.811,1.68279,0.33982,0.27531,0.25245,0.09272,2.35159,2.74189,2.38156,0.000466163,0.000466163,0.000466163
44,4993.91,1.62731,1.76238,1.65249,0.32549,0.30587,0.25788,0.09009,2.42197,2.73927,2.4843,0.000446819,0.000446819,0.000446819
45,5104.98,1.60859,1.68614,1.63266,0.38395,0.23311,0.2403,0.07896,2.48714,2.85572,2.56316,0.000427565,0.000427565,0.000427565
46,5215.5,1.5872,1.66467,1.62339,0.30633,0.26157,0.2328,0.08295,2.40905,2.89348,2.4819,0.00040843,0.00040843,0.00040843
47,5331.78,1.5738,1.63086,1.61411,0.32708,0.26133,0.21036,0.07453,2.47317,2.88832,2.54319,0.000389445,0.000389445,0.000389445
48,5457.01,1.55513,1.58765,1.60633,0.39829,0.25945,0.25258,0.08893,2.50182,2.79969,2.56372,0.000370637,0.000370637,0.000370637
49,5582.32,1.5434,1.58155,1.59129,0.30674,0.30722,0.23882,0.0814,2.46237,2.87112,2.50516,0.000352037,0.000352037,0.000352037
50,5701.49,1.50983,1.50329,1.56868,0.3525,0.2882,0.2619,0.09015,2.46876,2.8815,2.57301,0.000333672,0.000333672,0.000333672
51,5811.78,1.48705,1.46344,1.55519,0.38397,0.28799,0.27312,0.0903,2.48307,2.81821,2.61736,0.000315572,0.000315572,0.000315572
52,5922.16,1.45596,1.40554,1.52162,0.40371,0.29126,0.2698,0.09049,2.51774,2.82367,2.61165,0.000297763,0.000297763,0.000297763
53,6033.27,1.43972,1.38367,1.52424,0.35178,0.31463,0.25838,0.08284,2.46182,2.86702,2.60228,0.000280275,0.000280275,0.000280275
